"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type"
"1415576866680","37.6478333","-119.3403333","7.548","0.96","""md""","8","200","0.2072","0.03","""nc""","id101","1486263999850","""23km ESE of Yosemite Valley, California""","earthquake"
"1415576758640","38.8078333","-122.8106667","2.25","0.18","""md""","13","113","0.01171","0.03","""nc""","id103","1486263995150","""5km NW of The Geysers, California""","earthquake"
"1415576705661","41.8667","-119.6195","0","1.48","""ml""","3","321.47","0.51","0.1412","""nn""","id104","1420240963396","""69km ESE of Lakeview, Oregon""","earthquake"
"1415576641970","35.8448333","-120.3961667","3.989","0.82","""md""","45","55","0.009009","0.05","""nc""","id107","1486263988880","""21km N of Shandon, California""","earthquake"
"1415576393520","37.6398333","-119.32","11.242","1.26","""md""","13","312","0.191","0.06","""nc""","id108","1486263980892","""25km ESE of Yosemite Valley, California""","earthquake"
"1415576386226","41.8923","-119.6145","2.1578","3.23","""ml""","4","155.97","0.513","0.0663","""nn""","id109","1422672614040","""68km ESE of Lakeview, Oregon""","earthquake"
"1415575315638","41.8917","-119.6236","0","1.84","""ml""","3","319.41","0.506","0.0655","""nn""","id112","1420240691427","""68km ESE of Lakeview, Oregon""","earthquake"
"1415574707298","41.9069","-119.6257","0","2.74","""ml""","3","223.62","0.504","0.0532","""nn""","id113","1415603653285","""71km ESE of Lakeview, Oregon""","earthquake"
"1415573986600","38.8171654","-122.7614975","2.097","0.56","""md""","5","166","0.01532","0.01","""nc""","id117","1486263975984","""Northern California""","earthquake"
"1415573682938","39.3845","-119.7601","1.1945","1.08","""ml""","9","141.34","0.007","0.104","""nn""","id119","1415574643576","""12km NW of Virginia City, Nevada""","earthquake"
"1415573390640","38.8250008","-122.8431702","1.891","0.92","""md""","12","74","0.006306","0.02","""nc""","id120","1486263971313","""9km NW of The Geysers, California""","earthquake"
"1415572494943","41.9063","-119.6285","0","1.36","""ml""","3","318.14","0.502","0.0924","""nn""","id121","1415574071646","""67km ESE of Lakeview, Oregon""","earthquake"
"1415572297970","37.598","-118.8288333","4.441","0.88","""md""","31","89","0.008108","0.05","""nc""","id122","1486263965260","""13km ESE of Mammoth Lakes, California""","earthquake"
"1415572270870","37.2286667","-122.0341667","12.134","1.49","""md""","36","60","0.05676","0.13","""nc""","id123","1486263953680","""3km WSW of Monte Sereno, California""","earthquake"
"1415572104640","34.1478333","-117.4213333","9.635","0.57","""ml""","17","90","0.1231","0.18","""ci""","id124","1457709241045","""6km NNE of Fontana, CA""","earthquake"
"1415571569810","38.8216667","-122.7656631","2.223","0.47","""md""","6","99","0.01441","0.01","""nc""","id125","1486263945841","""Northern California""","earthquake"
"1415571367920","38.8100014","-122.7921677","2.624","0.45","""md""","9","82","0.002703","0.03","""nc""","id126","1486263941147","""4km NW of The Geysers, California""","earthquake"
"1415570066744","41.8451","-119.5851","2.0603","2.26","""ml""","3","323.63","0.538","0.1857","""nn""","id128","1415574065538","""73km ESE of Lakeview, Oregon""","earthquake"
"1415569580180","38.8370018","-122.8065033","1.774","0.07","""md""","5","132","0.01441","0.01","""nc""","id131","1486263936168","""Northern California""","earthquake"
"1415569222530","41.8575","-119.6246","1.7654","1.9","""ml""","4","246.26","0.507","0.1881","""nn""","id132","1415570125174","""70km ESE of Lakeview, Oregon""","earthquake"
"1415569164970","38.8100014","-122.7906647","2.576","0.43","""md""","8","86","0.004505","0.02","""nc""","id133","1486263931343","""4km NW of The Geysers, California""","earthquake"
"1415568354146","41.9069","-119.6165","0.0162","2.73","""ml""","3","240.04","0.511","0.0491","""nn""","id134","1426812000725","""68km ESE of Lakeview, Oregon""","earthquake"
"1415568111090","37.3686667","-119.036","5.306","0.92","""md""","25","159","0.2306","0.05","""nc""","id136","1486263926530","""31km S of Mammoth Lakes, California""","earthquake"
"1415567816190","38.824","-122.7986667","1.48","0.21","""md""","21","34","0.009009","0.03","""nc""","id139","1486263921285","""6km W of Cobb, California""","earthquake"
"1415567359980","37.5943333","-118.8311667","5.345","0.59","""md""","19","113","0.004505","0.08","""nc""","id140","1486263916569","""13km ESE of Mammoth Lakes, California""","earthquake"
"1415565112350","38.8196667","-122.799","2.739","0.31","""md""","16","63","0.009009","0.02","""nc""","id145","1486263911473","""5km NW of The Geysers, California""","earthquake"
"1415564884940","36.5678333","-120.6981667","6.782","1.74","""md""","38","121","0.1225","0.13","""nc""","id146","1486263904950","""35km SW of Mendota, California""","earthquake"
